epoch,sac/log_pi,sac/policy_loss,sac/qf1_loss,sac/qf2_loss,sac/alpha_loss,sac/alpha,sac/average_qf1,sac/average_qf2,sac/average_target_q,sac/total_steps,sac/cql/cql_std_q1,sac/cql/cql_std_q2,sac/cql/cql_q1_rand,sac/cql/cql_q2_rand,sac/cql/cql_min_qf1_loss,sac/cql/cql_min_qf2_loss,sac/cql/cql_qf1_diff,sac/cql/cql_qf2_diff,sac/cql/cql_q1_current_actions,sac/cql/cql_q2_current_actions,sac/cql/cql_q1_next_actions,sac/cql/cql_q2_next_actions,sac/cql/alpha_prime_loss,sac/cql/alpha_prime,average_return,average_traj_length,train_time,eval_time,epoch_time
0,4.238946914672852,12.49632453918457,7.743236064910889,7.468450546264648,-1.184417963027954,1.322353720664978,-3.232273817062378,-3.262502670288086,-2.4147400856018066,1000,9.562222480773926,10.353594779968262,-24.437835693359375,-26.421524047851562,-15.794329643249512,-17.083215713500977,-3.1588659286499023,-3.4166431427001953,-6.0199360847473145,-6.392938137054443,-6.10676383972168,-6.544830322265625,0.0,0.0,65.95889,200.0,95.52815341949463,9.888932943344116,105.41708636283875
1,3.0293171405792236,32.443756103515625,19.137577056884766,23.27292251586914,-1.816235899925232,1.8213043212890625,-19.599475860595703,-18.78020668029785,-20.41372299194336,2000,9.905328750610352,10.670223236083984,-43.081356048583984,-45.6802864074707,-16.875465393066406,-23.40591812133789,-3.3750932216644287,-4.681183815002441,-24.794462203979492,-26.19843864440918,-24.986894607543945,-26.350854873657227,0.0,0.0,49.11058,200.0,92.32776236534119,10.387514591217041,102.71527695655823
2,3.256683349609375,103.10516357421875,55.76049041748047,70.22704315185547,-2.7197482585906982,2.305109739303589,-78.76718139648438,-81.4252700805664,-80.66481018066406,3000,30.015071868896484,27.282188415527344,-147.17625427246094,-145.5402069091797,-47.588539123535156,-56.829002380371094,-9.517707824707031,-11.365800857543945,-91.50567626953125,-95.33211517333984,-91.4595718383789,-95.3492202758789,0.0,0.0,61.425304,200.0,94.79869365692139,10.038032054901123,104.83672571182251
3,2.5777130126953125,182.15267944335938,65.9640884399414,76.80879974365234,-2.8692398071289062,3.043764352798462,-152.52398681640625,-153.4146270751953,-158.15603637695312,4000,40.35898971557617,36.6665153503418,-245.2301483154297,-237.60342407226562,-74.64543151855469,-69.48526000976562,-14.929085731506348,-13.897052764892578,-172.6376495361328,-172.29664611816406,-173.107666015625,-172.7889862060547,0.0,0.0,53.087196,200.0,91.42259669303894,10.066554307937622,101.48915100097656
4,2.78680419921875,276.7353515625,221.0076446533203,343.6139221191406,-3.89253306388855,4.042135238647461,-240.41708374023438,-244.17599487304688,-241.46279907226562,5000,58.28886413574219,52.74925231933594,-368.9269714355469,-354.7021179199219,-78.81985473632812,-36.44261169433594,-15.763970375061035,-7.288522243499756,-261.8081359863281,-257.08428955078125,-262.4927062988281,-257.7616882324219,0.0,0.0,52.504173,200.0,91.16265392303467,10.16361117362976,101.32626509666443
5,2.9265615940093994,372.333740234375,149.11944580078125,110.17741394042969,-4.920872211456299,5.373351573944092,-334.1734619140625,-339.14178466796875,-344.34368896484375,6000,72.18229675292969,66.74403381347656,-486.4410705566406,-468.2632751464844,-67.72113037109375,4.760768890380859,-13.544225692749023,0.9521538019180298,-354.2860412597656,-344.23992919921875,-355.5702819824219,-345.4493713378906,0.0,0.0,63.72575,200.0,90.79434728622437,10.352182626724243,101.14652991294861
6,2.79935359954834,475.47808837890625,528.60498046875,618.093017578125,-5.508275985717773,7.154172420501709,-448.8831787109375,-443.42266845703125,-452.92926025390625,7000,101.32685852050781,101.55474090576172,-642.2377319335938,-617.12158203125,46.81883239746094,153.59176635742188,9.36376667022705,30.718353271484375,-453.389892578125,-426.81298828125,-454.5673828125,-428.0623474121094,0.0,0.0,51.61803,200.0,91.5078752040863,10.41026759147644,101.91814279556274
7,2.6718177795410156,543.5631103515625,691.5568237304688,578.9866333007812,-6.033185005187988,9.564729690551758,-510.54534912109375,-490.9436340332031,-504.88262939453125,8000,98.0089340209961,100.84518432617188,-701.292236328125,-670.4647827148438,22.392616271972656,108.14628601074219,4.478523254394531,21.629257202148438,-517.7445678710938,-480.83935546875,-519.2994384765625,-482.55499267578125,0.0,0.0,26.463675,200.0,91.2971339225769,10.443981885910034,101.74111580848694
8,1.3735308647155762,728.693359375,1042.760986328125,1246.646728515625,-3.475104570388794,12.554159164428711,-682.222900390625,-683.3929443359375,-698.529052734375,9000,89.12560272216797,87.54981994628906,-862.1746215820312,-847.4279174804688,-7.993531227111816,92.72218322753906,-1.5987062454223633,18.544437408447266,-705.3816528320312,-691.0260620117188,-711.9915771484375,-700.5889282226562,0.0,0.0,43.153557,200.0,91.43776345252991,10.590219020843506,102.02798247337341
9,1.871327519416809,826.3297119140625,1316.985595703125,1354.296142578125,-5.193270683288574,16.041515350341797,-771.9717407226562,-771.3204956054688,-774.859619140625,10000,99.29815673828125,93.7054443359375,-973.27685546875,-956.1576538085938,17.89948272705078,32.503849029541016,3.5798966884613037,6.50076961517334,-792.0910034179688,-785.353759765625,-795.1000366210938,-788.4144287109375,0.0,0.0,61.61035,200.0,90.22004747390747,10.599322319030762,100.81936979293823
10,1.8179242610931396,905.717529296875,3873.3369140625,4845.4765625,-5.454582691192627,20.094484329223633,-852.009521484375,-834.4107666015625,-868.7938842773438,11000,100.60507202148438,99.28971862792969,-1048.058349609375,-1026.0614013671875,58.5645637512207,66.81590270996094,11.712912559509277,13.363180160522461,-871.1181030273438,-850.9684448242188,-878.7410278320312,-859.5660400390625,0.0,0.0,75.38409,200.0,91.07509732246399,11.035005807876587,102.11010313034058
11,0.6770926713943481,1054.9638671875,1295.9727783203125,1281.01513671875,-2.176250457763672,24.881135940551758,-996.0372924804688,-998.8013916015625,-1004.7088623046875,12000,93.4053726196289,89.78504943847656,-1189.30615234375,-1172.1474609375,20.908428192138672,62.38456344604492,4.181685447692871,12.476912498474121,-1030.5389404296875,-1019.24755859375,-1034.0350341796875,-1023.4697265625,0.0,0.0,51.228973,200.0,90.84403824806213,10.8071870803833,101.65122532844543
12,0.5402628183364868,1184.702880859375,1326.6920166015625,1300.688720703125,-1.839125633239746,30.088151931762695,-1127.366455078125,-1123.9384765625,-1125.317626953125,13000,105.89632415771484,102.77015686035156,-1345.4735107421875,-1323.1143798828125,39.858543395996094,97.53984069824219,7.971708297729492,19.50796890258789,-1161.3218994140625,-1145.6629638671875,-1165.7666015625,-1150.4896240234375,0.0,0.0,24.398869,200.0,90.90077304840088,10.810668230056763,101.71144127845764
13,0.364480197429657,1309.415283203125,2154.94921875,2178.884765625,-1.312401533126831,36.62562942504883,-1245.32373046875,-1237.4049072265625,-1255.693359375,14000,108.29032897949219,105.31083679199219,-1468.3277587890625,-1441.8079833984375,55.601722717285156,120.56184387207031,11.120344161987305,24.112369537353516,-1288.8486328125,-1267.1297607421875,-1293.302490234375,-1272.5130615234375,0.0,0.0,51.308216,200.0,90.14504075050354,10.987747192382812,101.13278794288635
14,0.42701923847198486,1579.243896484375,3789.686767578125,4267.67626953125,-1.6071454286575317,43.10491943359375,-1503.8026123046875,-1498.23193359375,-1529.853759765625,15000,127.71515655517578,130.90011596679688,-1768.038330078125,-1754.089111328125,94.73818969726562,170.7803955078125,18.9476375579834,34.15607833862305,-1557.4375,-1537.8785400390625,-1559.768798828125,-1542.1534423828125,0.0,0.0,30.235935,200.0,90.7799711227417,10.971542835235596,101.7515139579773
15,1.155273199081421,1714.4560546875,3709.78955078125,3808.6875,-4.582250595092773,52.7929801940918,-1608.40478515625,-1607.3323974609375,-1637.94580078125,16000,150.38632202148438,142.97361755371094,-1910.1697998046875,-1878.219970703125,104.45481872558594,147.76499938964844,20.89096450805664,29.55299949645996,-1643.3583984375,-1625.8515625,-1644.4925537109375,-1626.5567626953125,0.0,0.0,30.087149,200.0,91.09106636047363,11.198632001876831,102.28969836235046
16,0.22077690064907074,2197.40087890625,4454.2763671875,3992.5791015625,-0.9082217216491699,61.17593002319336,-2102.09033203125,-2104.53515625,-2103.40869140625,17000,145.96640014648438,146.37600708007812,-2402.655029296875,-2382.5234375,161.18344116210938,321.25128173828125,32.23668670654297,64.25025939941406,-2172.697021484375,-2150.455810546875,-2173.4404296875,-2152.185546875,0.0,0.0,37.190056,200.0,90.63577842712402,10.57900094985962,101.21477937698364
17,1.4414944648742676,2370.73681640625,5338.337890625,7329.7216796875,-6.143144130706787,70.92684936523438,-2222.76416015625,-2258.77734375,-2253.628173828125,18000,218.9678955078125,207.2401885986328,-2654.401611328125,-2630.223388671875,189.65084838867188,377.64129638671875,37.93016815185547,75.52825927734375,-2251.659912109375,-2246.87158203125,-2253.5263671875,-2249.733154296875,0.0,0.0,35.353626,200.0,89.89700984954834,10.86165189743042,100.75866174697876
18,0.8770959973335266,2578.54638671875,13183.953125,12283.4345703125,-3.9316844940185547,88.4657974243164,-2420.22900390625,-2430.347900390625,-2493.69140625,19000,203.12179565429688,180.49636840820312,-2831.266357421875,-2785.809814453125,143.8715362548828,170.97190856933594,28.774307250976562,34.19438171386719,-2475.908935546875,-2469.563720703125,-2483.77001953125,-2476.697998046875,0.0,0.0,29.362865,200.0,90.394526720047,10.984208583831787,101.37873530387878
19,-0.5921049118041992,3139.2626953125,9001.6484375,9575.7861328125,2.7035040855407715,96.15109252929688,-3068.50048828125,-3060.2412109375,-3092.102783203125,20000,127.00788879394531,118.04486083984375,-3331.57275390625,-3281.27783203125,-32.678749084472656,78.92860412597656,-6.535749912261963,15.785720825195312,-3175.45556640625,-3121.833251953125,-3174.920654296875,-3122.7177734375,0.0,0.0,88.35244,200.0,90.54712200164795,10.961521863937378,101.50864386558533
20,-0.6076825857162476,3389.98095703125,9026.41015625,8672.0546875,2.808366298675537,101.63993835449219,-3318.8154296875,-3319.668212890625,-3354.17822265625,21000,152.35894775390625,142.91473388671875,-3625.983642578125,-3590.44189453125,20.049320220947266,101.27737426757812,4.00986385345459,20.255474090576172,-3424.86328125,-3387.91650390625,-3433.36962890625,-3394.719970703125,0.0,0.0,79.68944,200.0,89.30443358421326,10.957009315490723,100.26144289970398
21,-0.40095657110214233,3783.25341796875,6582.2109375,6582.197265625,1.8184019327163696,93.23838806152344,-3692.35498046875,-3686.029296875,-3733.998779296875,22000,173.6122589111328,167.65769958496094,-4039.159423828125,-3996.938232421875,165.799072265625,330.8087158203125,33.159812927246094,66.1617431640625,-3797.736328125,-3753.28515625,-3804.669921875,-3757.30517578125,0.0,0.0,39.99668,200.0,90.36252498626709,10.962641716003418,101.32516670227051
22,-0.517815113067627,4007.884765625,12458.3955078125,12086.23828125,2.443681478500366,112.08039093017578,-3933.93017578125,-3939.54052734375,-4004.41455078125,23000,178.31246948242188,166.9501953125,-4287.93603515625,-4254.9189453125,71.73231506347656,196.02719116210938,14.34646224975586,39.20543670654297,-4049.1015625,-4017.019287109375,-4049.672607421875,-4021.81640625,0.0,0.0,83.17496,200.0,89.80287647247314,11.00891900062561,100.81179547309875
23,-0.5120376348495483,4536.66552734375,21953.107421875,21814.765625,2.4512174129486084,119.96287536621094,-4446.28515625,-4437.61669921875,-4471.4609375,24000,190.2222900390625,174.16160583496094,-4829.7578125,-4775.29833984375,19.075950622558594,86.38441467285156,3.815190315246582,17.27688217163086,-4577.4384765625,-4535.86572265625,-4574.39501953125,-4531.62060546875,0.0,0.0,82.57648,200.0,90.10282015800476,11.018112182617188,101.12093234062195
24,-0.5998762845993042,4961.994140625,16783.658203125,17604.27734375,2.9175829887390137,129.4947967529297,-4883.892578125,-4883.1513671875,-4947.5595703125,25000,193.90786743164062,161.80455017089844,-5263.18115234375,-5184.24560546875,76.72525024414062,195.9764404296875,15.345049858093262,39.195289611816406,-5021.8388671875,-4970.38427734375,-5034.77685546875,-4979.08447265625,0.0,0.0,92.16324,200.0,88.75238847732544,10.617120742797852,99.36950922012329
25,0.6862169504165649,5188.640625,18768.2578125,19077.8125,-3.3384909629821777,129.6794891357422,-4980.42333984375,-4974.91796875,-5032.0126953125,26000,272.6098937988281,250.7681884765625,-5525.93701171875,-5466.3916015625,232.7494659423828,294.793701171875,46.54989242553711,58.958740234375,-5080.53759765625,-5059.11376953125,-5081.73291015625,-5061.73193359375,0.0,0.0,90.91911,200.0,86.84151268005371,10.741253852844238,97.58276653289795
26,0.6043989658355713,5815.75634765625,21467.55859375,22454.55859375,-2.980881690979004,138.6532745361328,-5581.26171875,-5534.38330078125,-5624.6767578125,27000,263.90350341796875,238.6452178955078,-6122.46044921875,-6013.08544921875,173.53878784179688,249.2601776123047,34.70775604248047,49.85203552246094,-5715.89697265625,-5649.72607421875,-5708.49609375,-5644.28125,0.0,0.0,83.67171,200.0,86.86072659492493,10.619893312454224,97.48061990737915
