  "arch": "1024-1024",
  "offline_ratio": 1.0,
  "seed": 0,
average_return                    88.1127
average_return                    73.4745
average_return                    70.1308
average_return                    68.141
average_return                    62.9441
average_return                    67.6342
average_return                    62.8831
average_return                    67.0257
average_return                    63.7058
average_return                     79.5183
average_return                     72.9361
average_return                     65.8162
average_return                     71.817
average_return                     66.4844
average_return                     75.2379
average_return                     78.6296
average_return                     79.4281
average_return                     90.8483
average_return                     91.9375
average_return                     94.939
average_return                     94.9234
average_return                     95.3862
average_return                     94.2865
average_return                     94.3484
average_return                     94.7287
average_return                     92.7576
average_return                     92.4159
average_return                     92.9501
average_return                     93.6103
average_return                     93.3137
average_return                     93.2906
average_return                     94.7906
average_return                     98.5285
average_return                     99.4468
average_return                     98.4647
average_return                     97.8133
average_return                     97.1585
average_return                     93.25
average_return                     91.5733
average_return                     92.4899
average_return                     91.7032
average_return                     92.6855
average_return                     96.2069
average_return                     94.7504
average_return                     97.0636
average_return                     97.0148
average_return                     96.8096
average_return                     98.09
average_return                     99.348
average_return                     96.3234
average_return                     99.196
average_return                     99.3089
average_return                     98.8703
average_return                     87.1609
average_return                     81.3554
average_return                     91.5016
average_return                     72.9018
average_return                     65.8211
average_return                     98.9561
average_return                    100.908
average_return                    101.723
average_return                       6.86606
average_return                       6.846
average_return                       6.7474
average_return                       6.75387
average_return                       6.75763
average_return                       6.77753
average_return                       6.77355
average_return                       6.76072
average_return                       6.80346
average_return                       6.83144
average_return                       6.82877
average_return                       6.84628
average_return                       6.90976
average_return                       6.88631
average_return                       6.9069
average_return                       6.83601
average_return                       6.79052
average_return                       6.81547
average_return                       6.76628
average_return                       6.7957
average_return                       6.7925
average_return                       6.78854
average_return                       6.76005
average_return                       6.81747
average_return                       6.79561
average_return                        6.81039
average_return                        6.78374
average_return                        6.81807
average_return                        6.81454
average_return                        6.81255
average_return                        6.79214
average_return                        6.80919
average_return                        6.79709
average_return                        6.80296
average_return                        6.80444
average_return                        6.799
average_return                        6.79378
average_return                        6.79941
average_return                        6.79466
average_return                        6.81848
average_return                        6.81755
average_return                        6.82651
average_return                        6.82264
average_return                        6.80723
average_return                        6.83157
average_return                        6.84139
