Output policy at time step 1 under different desired RTGs for models in different epochs

Epoch 15, desired rtg is 0, timestep 1, prob1 is 0.14078450202941895
Epoch 15, desired rtg is 5, timestep 1, prob1 is 0.8508367538452148
Epoch 15, desired rtg is 10, timestep 1, prob1 is 0.8508409857749939
Epoch 15, desired rtg is 15, timestep 1, prob1 is 0.8508409857749939
Epoch 15, desired rtg is 20, timestep 1, prob1 is 0.8508409857749939
Epoch 15, desired rtg is 25, timestep 1, prob1 is 0.8508409857749939
Epoch 15, desired rtg is 30, timestep 1, prob1 is 0.8508409857749939
Epoch 15, desired rtg is 35, timestep 1, prob1 is 0.8508409857749939
Epoch 15, desired rtg is 40, timestep 1, prob1 is 0.8508409857749939
Epoch 20, desired rtg is 0, timestep 1, prob1 is 0.05310942605137825
Epoch 20, desired rtg is 5, timestep 1, prob1 is 0.9233306050300598
Epoch 20, desired rtg is 10, timestep 1, prob1 is 0.9233348369598389
Epoch 20, desired rtg is 15, timestep 1, prob1 is 0.9233338236808777
Epoch 20, desired rtg is 20, timestep 1, prob1 is 0.9233336448669434
Epoch 20, desired rtg is 25, timestep 1, prob1 is 0.9233336448669434
Epoch 20, desired rtg is 30, timestep 1, prob1 is 0.9233336448669434
Epoch 20, desired rtg is 35, timestep 1, prob1 is 0.9233336448669434
Epoch 20, desired rtg is 40, timestep 1, prob1 is 0.9233336448669434
Epoch 25, desired rtg is 0, timestep 1, prob1 is 0.021758506074547768
Epoch 25, desired rtg is 5, timestep 1, prob1 is 0.8792529106140137
Epoch 25, desired rtg is 10, timestep 1, prob1 is 0.8787147402763367
Epoch 25, desired rtg is 15, timestep 1, prob1 is 0.8785613179206848
Epoch 25, desired rtg is 20, timestep 1, prob1 is 0.8785364031791687
Epoch 25, desired rtg is 25, timestep 1, prob1 is 0.8785325288772583
Epoch 25, desired rtg is 30, timestep 1, prob1 is 0.8785319924354553
Epoch 25, desired rtg is 35, timestep 1, prob1 is 0.8785317540168762
Epoch 25, desired rtg is 40, timestep 1, prob1 is 0.8785317540168762
Epoch 30, desired rtg is 0, timestep 1, prob1 is 0.00845356471836567
Epoch 30, desired rtg is 5, timestep 1, prob1 is 0.9072827100753784
Epoch 30, desired rtg is 10, timestep 1, prob1 is 0.9047934412956238
Epoch 30, desired rtg is 15, timestep 1, prob1 is 0.9037254452705383
Epoch 30, desired rtg is 20, timestep 1, prob1 is 0.903359591960907
Epoch 30, desired rtg is 25, timestep 1, prob1 is 0.9032415747642517
Epoch 30, desired rtg is 30, timestep 1, prob1 is 0.9032041430473328
Epoch 30, desired rtg is 35, timestep 1, prob1 is 0.9031922817230225
Epoch 30, desired rtg is 40, timestep 1, prob1 is 0.9031885862350464
Epoch 35, desired rtg is 0, timestep 1, prob1 is 0.005404036492109299
Epoch 35, desired rtg is 5, timestep 1, prob1 is 0.8150860667228699
Epoch 35, desired rtg is 10, timestep 1, prob1 is 0.7959716320037842
Epoch 35, desired rtg is 15, timestep 1, prob1 is 0.7864022850990295
Epoch 35, desired rtg is 20, timestep 1, prob1 is 0.7823526263237
Epoch 35, desired rtg is 25, timestep 1, prob1 is 0.7807538509368896
Epoch 35, desired rtg is 30, timestep 1, prob1 is 0.7801395654678345
Epoch 35, desired rtg is 35, timestep 1, prob1 is 0.7799058556556702
Epoch 35, desired rtg is 40, timestep 1, prob1 is 0.7798173427581787
Epoch 40, desired rtg is 0, timestep 1, prob1 is 0.0026111407205462456
Epoch 40, desired rtg is 5, timestep 1, prob1 is 0.9574588537216187
Epoch 40, desired rtg is 10, timestep 1, prob1 is 0.9301809668540955
Epoch 40, desired rtg is 15, timestep 1, prob1 is 0.9050593972206116
Epoch 40, desired rtg is 20, timestep 1, prob1 is 0.8891305327415466
Epoch 40, desired rtg is 25, timestep 1, prob1 is 0.8809998035430908
Epoch 40, desired rtg is 30, timestep 1, prob1 is 0.8772518038749695
Epoch 40, desired rtg is 35, timestep 1, prob1 is 0.875600278377533
Epoch 40, desired rtg is 40, timestep 1, prob1 is 0.8748865127563477
Epoch 45, desired rtg is 0, timestep 1, prob1 is 0.001362931914627552
Epoch 45, desired rtg is 5, timestep 1, prob1 is 0.9259628057479858
Epoch 45, desired rtg is 10, timestep 1, prob1 is 0.5275007486343384
Epoch 45, desired rtg is 15, timestep 1, prob1 is 0.20399975776672363
Epoch 45, desired rtg is 20, timestep 1, prob1 is 0.11741074919700623
Epoch 45, desired rtg is 25, timestep 1, prob1 is 0.09191616624593735
Epoch 45, desired rtg is 30, timestep 1, prob1 is 0.0828438475728035
Epoch 45, desired rtg is 35, timestep 1, prob1 is 0.0792909488081932
Epoch 45, desired rtg is 40, timestep 1, prob1 is 0.07783964276313782
