t0,s0,a0,r0,t1,s1,a1,r1,t2,s2,a2,r2,t3,s3,a3,r3,t4,s4,a4,r4,t5,s5,a5,r5,t6,s6,a6,r6,t7,s7,a7,r7,t8,s8,a8,r8,t9,s9,a9,r9,t10,s10,a10,r10,t11,s11,a11,r11,t12,s12,a12,r12,t13,s13,a13,r13,t14,s14,a14,r14,t15,s15,a15,r15,t16,s16,a16,r16,t17,s17,a17,r17,t18,s18,a18,r18,t19,s19,a19,r19,t20
0,0,0,0.0,1,1,3,1.0,2,2,4,0.0,3,3,7,1.0,4,4,8,0.0,5,5,11,1.0,6,6,12,0.0,7,7,15,1.0,8,8,16,0.0,9,9,19,1.0,10,10,20,0.0,11,11,23,1.0,12,12,24,0.0,13,13,27,1.0,14,14,28,0.0,15,15,31,1.0,16,16,32,0.0,17,17,35,1.0,18,18,36,0.0,19,19,39,1.0,20
0,0,0,0.0,1,1,3,1.0,2,2,4,0.0,3,3,7,1.0,4,4,8,0.0,5,5,11,1.0,6,6,12,0.0,7,7,15,1.0,8,8,16,0.0,9,9,19,1.0,10,10,20,0.0,11,11,23,1.0,12,12,24,0.0,13,13,27,1.0,14,14,28,0.0,15,15,31,1.0,16,16,32,0.0,17,17,35,1.0,18,18,36,0.0,19,19,39,1.0,20
0,0,0,0.0,1,1,3,1.0,2,2,4,0.0,3,3,7,1.0,4,4,8,0.0,5,5,11,1.0,6,6,12,0.0,7,7,15,1.0,8,8,16,0.0,9,9,19,1.0,10,10,20,0.0,11,11,23,1.0,12,12,24,0.0,13,13,27,1.0,14,14,28,0.0,15,15,31,1.0,16,16,32,0.0,17,17,35,1.0,18,18,36,0.0,19,19,39,1.0,20
0,0,0,0.0,1,1,3,1.0,2,2,4,0.0,3,3,7,1.0,4,4,8,0.0,5,5,11,1.0,6,6,12,0.0,7,7,15,1.0,8,8,16,0.0,9,9,19,1.0,10,10,20,0.0,11,11,23,1.0,12,12,24,0.0,13,13,27,1.0,14,14,28,0.0,15,15,31,1.0,16,16,32,0.0,17,17,35,1.0,18,18,36,0.0,19,19,39,1.0,20
0,0,0,0.0,1,1,3,1.0,2,2,4,0.0,3,3,7,1.0,4,4,8,0.0,5,5,11,1.0,6,6,12,0.0,7,7,15,1.0,8,8,16,0.0,9,9,19,1.0,10,10,20,0.0,11,11,23,1.0,12,12,24,0.0,13,13,27,1.0,14,14,28,0.0,15,15,31,1.0,16,16,32,0.0,17,17,35,1.0,18,18,36,0.0,19,19,39,1.0,20
0,0,1,1.0,1,1,2,0.0,2,2,5,1.0,3,3,6,0.0,4,4,9,1.0,5,5,10,0.0,6,6,13,1.0,7,7,14,0.0,8,8,17,1.0,9,9,18,0.0,10,10,21,1.0,11,11,22,0.0,12,12,25,1.0,13,13,26,0.0,14,14,29,1.0,15,15,30,0.0,16,16,33,1.0,17,17,34,0.0,18,18,37,1.0,19,19,38,0.0,20
0,0,1,1.0,1,1,2,0.0,2,2,5,1.0,3,3,6,0.0,4,4,9,1.0,5,5,10,0.0,6,6,13,1.0,7,7,14,0.0,8,8,17,1.0,9,9,18,0.0,10,10,21,1.0,11,11,22,0.0,12,12,25,1.0,13,13,26,0.0,14,14,29,1.0,15,15,30,0.0,16,16,33,1.0,17,17,34,0.0,18,18,37,1.0,19,19,38,0.0,20
0,0,1,1.0,1,1,2,0.0,2,2,5,1.0,3,3,6,0.0,4,4,9,1.0,5,5,10,0.0,6,6,13,1.0,7,7,14,0.0,8,8,17,1.0,9,9,18,0.0,10,10,21,1.0,11,11,22,0.0,12,12,25,1.0,13,13,26,0.0,14,14,29,1.0,15,15,30,0.0,16,16,33,1.0,17,17,34,0.0,18,18,37,1.0,19,19,38,0.0,20
0,0,1,1.0,1,1,2,0.0,2,2,5,1.0,3,3,6,0.0,4,4,9,1.0,5,5,10,0.0,6,6,13,1.0,7,7,14,0.0,8,8,17,1.0,9,9,18,0.0,10,10,21,1.0,11,11,22,0.0,12,12,25,1.0,13,13,26,0.0,14,14,29,1.0,15,15,30,0.0,16,16,33,1.0,17,17,34,0.0,18,18,37,1.0,19,19,38,0.0,20
0,0,1,1.0,1,1,2,0.0,2,2,5,1.0,3,3,6,0.0,4,4,9,1.0,5,5,10,0.0,6,6,13,1.0,7,7,14,0.0,8,8,17,1.0,9,9,18,0.0,10,10,21,1.0,11,11,22,0.0,12,12,25,1.0,13,13,26,0.0,14,14,29,1.0,15,15,30,0.0,16,16,33,1.0,17,17,34,0.0,18,18,37,1.0,19,19,38,0.0,20
0,0,1,1.0,1,1,3,1.0,2,2,5,1.0,3,3,7,1.0,4,4,9,1.0,5,5,11,1.0,6,6,13,1.0,7,7,15,1.0,8,8,17,1.0,9,9,19,1.0,10,10,21,1.0,11,11,23,1.0,12,12,25,1.0,13,13,27,1.0,14,14,29,1.0,15,15,31,1.0,16,16,33,1.0,17,17,35,1.0,18,18,37,1.0,19,19,39,1.0,20
0,0,1,1.0,1,1,3,1.0,2,2,5,1.0,3,3,7,1.0,4,4,9,1.0,5,5,11,1.0,6,6,13,1.0,7,7,15,1.0,8,8,17,1.0,9,9,19,1.0,10,10,21,1.0,11,11,23,1.0,12,12,25,1.0,13,13,27,1.0,14,14,29,1.0,15,15,31,1.0,16,16,33,1.0,17,17,35,1.0,18,18,37,1.0,19,19,39,1.0,20
0,0,1,1.0,1,1,3,1.0,2,2,5,1.0,3,3,7,1.0,4,4,9,1.0,5,5,11,1.0,6,6,13,1.0,7,7,15,1.0,8,8,17,1.0,9,9,19,1.0,10,10,21,1.0,11,11,23,1.0,12,12,25,1.0,13,13,27,1.0,14,14,29,1.0,15,15,31,1.0,16,16,33,1.0,17,17,35,1.0,18,18,37,1.0,19,19,39,1.0,20
0,0,1,1.0,1,1,3,1.0,2,2,5,1.0,3,3,7,1.0,4,4,9,1.0,5,5,11,1.0,6,6,13,1.0,7,7,15,1.0,8,8,17,1.0,9,9,19,1.0,10,10,21,1.0,11,11,23,1.0,12,12,25,1.0,13,13,27,1.0,14,14,29,1.0,15,15,31,1.0,16,16,33,1.0,17,17,35,1.0,18,18,37,1.0,19,19,39,1.0,20
0,0,1,1.0,1,1,3,1.0,2,2,5,1.0,3,3,7,1.0,4,4,9,1.0,5,5,11,1.0,6,6,13,1.0,7,7,15,1.0,8,8,17,1.0,9,9,19,1.0,10,10,21,1.0,11,11,23,1.0,12,12,25,1.0,13,13,27,1.0,14,14,29,1.0,15,15,31,1.0,16,16,33,1.0,17,17,35,1.0,18,18,37,1.0,19,19,39,1.0,20
0,0,0,0.0,1,1,2,0.0,2,2,4,0.0,3,3,6,0.0,4,4,8,0.0,5,5,10,0.0,6,6,12,0.0,7,7,14,0.0,8,8,16,0.0,9,9,18,0.0,10,10,20,0.0,11,11,22,0.0,12,12,24,0.0,13,13,26,0.0,14,14,28,0.0,15,15,30,0.0,16,16,32,0.0,17,17,34,0.0,18,18,36,0.0,19,19,38,0.0,20
0,0,0,0.0,1,1,2,0.0,2,2,4,0.0,3,3,6,0.0,4,4,8,0.0,5,5,10,0.0,6,6,12,0.0,7,7,14,0.0,8,8,16,0.0,9,9,18,0.0,10,10,20,0.0,11,11,22,0.0,12,12,24,0.0,13,13,26,0.0,14,14,28,0.0,15,15,30,0.0,16,16,32,0.0,17,17,34,0.0,18,18,36,0.0,19,19,38,0.0,20
0,0,0,0.0,1,1,2,0.0,2,2,4,0.0,3,3,6,0.0,4,4,8,0.0,5,5,10,0.0,6,6,12,0.0,7,7,14,0.0,8,8,16,0.0,9,9,18,0.0,10,10,20,0.0,11,11,22,0.0,12,12,24,0.0,13,13,26,0.0,14,14,28,0.0,15,15,30,0.0,16,16,32,0.0,17,17,34,0.0,18,18,36,0.0,19,19,38,0.0,20
0,0,0,0.0,1,1,2,0.0,2,2,4,0.0,3,3,6,0.0,4,4,8,0.0,5,5,10,0.0,6,6,12,0.0,7,7,14,0.0,8,8,16,0.0,9,9,18,0.0,10,10,20,0.0,11,11,22,0.0,12,12,24,0.0,13,13,26,0.0,14,14,28,0.0,15,15,30,0.0,16,16,32,0.0,17,17,34,0.0,18,18,36,0.0,19,19,38,0.0,20
0,0,0,0.0,1,1,2,0.0,2,2,4,0.0,3,3,6,0.0,4,4,8,0.0,5,5,10,0.0,6,6,12,0.0,7,7,14,0.0,8,8,16,0.0,9,9,18,0.0,10,10,20,0.0,11,11,22,0.0,12,12,24,0.0,13,13,26,0.0,14,14,28,0.0,15,15,30,0.0,16,16,32,0.0,17,17,34,0.0,18,18,36,0.0,19,19,38,0.0,20
