t0,s0,a0,r0,t1,s1,a1,r1,t2,s2,a2,r2,t3,s3,a3,r3,t4,s4,a4,r4,t5,s5,a5,r5,t6,s6,a6,r6,t7,s7,a7,r7,t8,s8,a8,r8,t9,s9,a9,r9,t10,s10,a10,r10,t11,s11,a11,r11,t12,s12,a12,r12,t13,s13,a13,r13,t14,s14,a14,r14,t15,s15,a15,r15,t16,s16,a16,r16,t17,s17,a17,r17,t18,s18,a18,r18,t19,s19,a19,r19,t20
0,0,0,0.0,1,2,0,1.0,2,3,0,0.0,3,3,0,0.0,4,3,0,0.0,5,3,0,0.0,6,3,0,0.0,7,3,0,0.0,8,3,0,0.0,9,3,0,0.0,10,3,0,0.0,11,3,0,0.0,12,3,0,0.0,13,3,0,0.0,14,3,0,0.0,15,3,0,0.0,16,3,0,0.0,17,3,0,0.0,18,3,0,0.0,19,3,0,0.0,20
0,0,0,0.0,1,2,1,1.0,2,3,0,0.0,3,3,0,0.0,4,3,0,0.0,5,3,0,0.0,6,3,0,0.0,7,3,0,0.0,8,3,0,0.0,9,3,0,0.0,10,3,0,0.0,11,3,0,0.0,12,3,0,0.0,13,3,0,0.0,14,3,0,0.0,15,3,0,0.0,16,3,0,0.0,17,3,0,0.0,18,3,0,0.0,19,3,0,0.0,20
0,0,2,0.0,1,2,2,1.0,2,3,2,0.0,3,3,2,0.0,4,3,2,0.0,5,3,2,0.0,6,3,2,0.0,7,3,2,0.0,8,3,2,0.0,9,3,2,0.0,10,3,2,0.0,11,3,2,0.0,12,3,2,0.0,13,3,2,0.0,14,3,2,0.0,15,3,2,0.0,16,3,2,0.0,17,3,2,0.0,18,3,2,0.0,19,3,2,0.0,20
0,0,2,0.0,1,2,3,1.0,2,3,2,0.0,3,3,2,0.0,4,3,2,0.0,5,3,2,0.0,6,3,2,0.0,7,3,2,0.0,8,3,2,0.0,9,3,2,0.0,10,3,2,0.0,11,3,2,0.0,12,3,2,0.0,13,3,2,0.0,14,3,2,0.0,15,3,2,0.0,16,3,2,0.0,17,3,2,0.0,18,3,2,0.0,19,3,2,0.0,20
0,0,4,0.0,1,2,4,1.0,2,3,4,0.0,3,3,4,0.0,4,3,4,0.0,5,3,4,0.0,6,3,4,0.0,7,3,4,0.0,8,3,4,0.0,9,3,4,0.0,10,3,4,0.0,11,3,4,0.0,12,3,4,0.0,13,3,4,0.0,14,3,4,0.0,15,3,4,0.0,16,3,4,0.0,17,3,4,0.0,18,3,4,0.0,19,3,4,0.0,20
0,0,4,0.0,1,2,5,1.0,2,3,4,0.0,3,3,4,0.0,4,3,4,0.0,5,3,4,0.0,6,3,4,0.0,7,3,4,0.0,8,3,4,0.0,9,3,4,0.0,10,3,4,0.0,11,3,4,0.0,12,3,4,0.0,13,3,4,0.0,14,3,4,0.0,15,3,4,0.0,16,3,4,0.0,17,3,4,0.0,18,3,4,0.0,19,3,4,0.0,20
0,0,6,0.0,1,2,6,1.0,2,3,6,0.0,3,3,6,0.0,4,3,6,0.0,5,3,6,0.0,6,3,6,0.0,7,3,6,0.0,8,3,6,0.0,9,3,6,0.0,10,3,6,0.0,11,3,6,0.0,12,3,6,0.0,13,3,6,0.0,14,3,6,0.0,15,3,6,0.0,16,3,6,0.0,17,3,6,0.0,18,3,6,0.0,19,3,6,0.0,20
0,0,6,0.0,1,2,7,1.0,2,3,6,0.0,3,3,6,0.0,4,3,6,0.0,5,3,6,0.0,6,3,6,0.0,7,3,6,0.0,8,3,6,0.0,9,3,6,0.0,10,3,6,0.0,11,3,6,0.0,12,3,6,0.0,13,3,6,0.0,14,3,6,0.0,15,3,6,0.0,16,3,6,0.0,17,3,6,0.0,18,3,6,0.0,19,3,6,0.0,20
0,0,8,0.0,1,2,8,1.0,2,3,8,0.0,3,3,8,0.0,4,3,8,0.0,5,3,8,0.0,6,3,8,0.0,7,3,8,0.0,8,3,8,0.0,9,3,8,0.0,10,3,8,0.0,11,3,8,0.0,12,3,8,0.0,13,3,8,0.0,14,3,8,0.0,15,3,8,0.0,16,3,8,0.0,17,3,8,0.0,18,3,8,0.0,19,3,8,0.0,20
0,0,8,0.0,1,2,9,1.0,2,3,8,0.0,3,3,8,0.0,4,3,8,0.0,5,3,8,0.0,6,3,8,0.0,7,3,8,0.0,8,3,8,0.0,9,3,8,0.0,10,3,8,0.0,11,3,8,0.0,12,3,8,0.0,13,3,8,0.0,14,3,8,0.0,15,3,8,0.0,16,3,8,0.0,17,3,8,0.0,18,3,8,0.0,19,3,8,0.0,20
